"lsd","lat","lng"
"05-01-050-24W3",53.2834,-109.3909
"07-02-016-17W3",50.3156,-108.2361
"05-09-022-20W3",50.8542,-108.7256
"14-19-050-21W3",53.3343,-109.068
"14-13-002-02W2",49.1298,-102.1547
"02-04-001-16W2",49.002,-104.0848
"07-27-048-24W3",53.1671,-109.4276
"04-04-049-24W3",53.1926,-109.4639
"04-16-008-19W3",49.642,-108.5317
"10-24-032-25W3",51.7596,-109.4153
"16-01-050-27W3",53.2907,-109.8115
"12-24-052-25W3",53.5063,-109.5661
"11-13-049-28W3",53.2289,-109.9699
"06-22-031-19W3",51.6686,-108.6177
"14-02-019-29W3",50.5849,-109.9202
"10-22-012-27W3",50.0133,-109.6085
"10-35-009-08W2",49.7792,-102.9859
"07-06-050-24W3",53.2833,-109.5007
"02-19-027-26W3",51.3165,-109.646
"13-24-006-16W2",49.4918,-104.0439
"16-09-048-21W3",53.1307,-109.0065
"02-13-014-29W3",50.1663,-109.8362
"02-34-006-19W3",49.5111,-108.4807
"02-10-002-04W2",49.1042,-102.4626
"06-09-013-24W3",50.0679,-109.2272
"07-36-001-34W1",49.0786,-101.9079
"03-20-007-01W2",49.568,-102.1108
"06-20-015-24W3",50.2718,-109.273
"06-22-013-24W3",50.097,-109.2045
"06-21-013-24W3",50.097,-109.2272
"02-21-013-24W3",50.0934,-109.2216
"16-15-030-21W3",51.5749,-108.8664
"01-21-030-21W3",51.5786,-108.8898
"01-24-046-28W3",52.9747,-109.9261
"15-06-019-16W3",50.585,-108.2063
"08-12-051-24W3",53.386,-109.4002
"08-14-032-27W3",51.7414,-109.7168
"12-08-004-01W2",49.2845,-102.1157
"15-33-014-19W3",50.2208,-108.5388
"03-24-008-10W2",49.6555,-103.2399
"10-06-050-23W3",53.2871,-109.3544
"03-34-035-28W3",52.0435,-109.9221
"08-31-033-27W3",51.8725,-109.8115
"01-27-002-14W2",49.1472,-103.7902
"04-34-005-11W2",49.4227,-103.4161
"08-10-005-32W1",49.3755,-101.7119
"02-15-006-01W2",49.4665,-102.0597
"12-34-006-01W2",49.5173,-102.0707
"01-28-006-04W2",49.4957,-102.4805
"13-10-001-13W2",49.0266,-103.6731
"01-21-003-13W2",49.2188,-103.6909
"01-20-006-13W2",49.4809,-103.7133
"16-34-015-30W1",50.327,-101.5262
"04-34-031-23W3",51.6941,-109.1907
"11-12-011-05W2",49.8961,-102.5664
"01-25-016-19W3",50.3702,-108.4825
"09-03-031-20W3",51.6286,-108.7478
"09-10-005-04W2",49.3718,-102.4579
"16-36-005-26W3",49.4346,-109.3719
"03-18-032-23W3",51.7379,-109.2557
"01-30-044-27W3",52.8149,-109.9019
"05-21-011-03W2",49.9216,-102.3672
"09-22-003-04W2",49.2263,-102.4579
"08-15-035-27W3",52.0035,-109.7674
"12-34-006-14W2",49.5173,-103.8197
"15-17-031-27W3",51.6615,-109.7937
"09-23-004-20W3",49.3145,-108.5872
"14-03-031-23W3",51.6322,-109.1849
"05-12-009-30W1",49.73,-101.4375
"12-03-048-21W3",53.1126,-109.0003
"13-01-009-31W1",49.7226,-101.5739
"15-15-048-22W3",53.1453,-109.1352
